college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3AR,43447.0,43447,43447,0.0,1,43447,1494.59999985054,44942
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3BG,38742.0,38742,38742,0.0,1,38742,748.69999992513,39491
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3BK,45782.0,45782,45782,0.0,1,45782,2096.69999979033,47879
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3BR,-9.223372036854776e+18,-9223372036854775808,-9223372036854775808,0.0,1,-9223372036854775808,1.8446744071864968e+18,1
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,GM,29417.0,29417,29417,0.0,1,29417,691.59999993084,30109
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,GMK,39292.0,39292,39292,0.0,1,39292,558.59999994414,39851
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,GMR,42109.0,42109,42109,0.0,1,42109,1559.79999984402,43669
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,SCG,54619.0,54619,54619,0.0,1,54619,-9.223372141200458e+17,1
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,SCK,60481.0,60481,60481,0.0,1,60481,15573.749998053281,76055
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,SCR,71130.0,71130,71130,0.0,1,71130,12707.9999984115,83838
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,STG,45004.0,45004,45004,0.0,1,45004,13710.499998286188,58714
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,1G,7418.0,7418,7418,0.0,1,7418,860.4999998279,8278
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2AG,6685.0,6685,6685,0.0,1,6685,582.39999988352,7267
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2AR,10689.0,10689,10689,0.0,1,10689,-2063.09999958738,8626
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2BG,8120.0,8120,8120,0.0,1,8120,1155.9999997688,9276
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2BK,38720.0,38720,38720,0.0,1,38720,0.0,38720
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3AG,5128.0,5128,5128,0.0,1,5128,225.89999995482,5354
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3AR,6802.0,6802,6802,0.0,1,6802,-2429.99999514,4372
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3BG,4822.0,4822,4822,0.0,1,4822,220.9999999558,5043
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GM,4202.0,4202,4202,0.0,1,4202,448.89999991022,4651
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GMK,10372.0,10372,10372,0.0,1,10372,-472.9999999054,9899
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GMR,6261.0,6261,6261,0.0,1,6261,-235.4999999529,6026
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,SCG,19929.0,19929,19929,0.0,1,19929,3851.39999922972,23780
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,SCR,22965.0,22965,22965,0.0,1,22965,2787.59999944248,25753
E001,University of Visvesvaraya College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,STG,12296.0,12296,12296,0.0,1,12296,4002.7999991994398,16299
E001,University of Visvesvaraya College of Engineering Bangalore,CIVIL ENGINEERING,1G,66271.0,66271,66271,0.0,1,66271,7354.19999926458,73625
